# HELP cadvisor_version_info A metric with a constant '1' value labeled by kernel version, OS version, docker version, cadvisor version & cadvisor revision.
# TYPE cadvisor_version_info gauge
cadvisor_version_info{cadvisorRevision="6f3f25ba",cadvisorVersion="v0.49.1",dockerVersion="",kernelVersion="6.6.87.2-microsoft-standard-WSL2",osVersion="Alpine Linux v3.18"} 1
# HELP container_blkio_device_usage_total Blkio Device bytes usage
# TYPE container_blkio_device_usage_total counter
container_blkio_device_usage_total{device="",id="/",major="7",minor="0",operation="Read"} 2.2618112e+07 1774266321495
container_blkio_device_usage_total{device="",id="/",major="7",minor="0",operation="Write"} 0 1774266321495
container_blkio_device_usage_total{device="",id="/",major="7",minor="1",operation="Read"} 1.660197888e+09 1774266321495
container_blkio_device_usage_total{device="",id="/",major="7",minor="1",operation="Write"} 0 1774266321495
container_blkio_device_usage_total{device="/dev/sda",id="/",major="8",minor="0",operation="Read"} 2.859264e+08 1774266321495
container_blkio_device_usage_total{device="/dev/sda",id="/",major="8",minor="0",operation="Write"} 0 1774266321495
container_blkio_device_usage_total{device="/dev/sdb",id="/",major="8",minor="16",operation="Read"} 1.5250432e+07 1774266321495
container_blkio_device_usage_total{device="/dev/sdb",id="/",major="8",minor="16",operation="Write"} 0 1774266321495
container_blkio_device_usage_total{device="/dev/sdc",id="/",major="8",minor="32",operation="Read"} 3.46505216e+08 1774266321495
container_blkio_device_usage_total{device="/dev/sdc",id="/",major="8",minor="32",operation="Write"} 1.4375911424e+10 1774266321495
container_blkio_device_usage_total{device="/dev/sdd",id="/",major="8",minor="48",operation="Read"} 1.95907584e+08 1774266321495
container_blkio_device_usage_total{device="/dev/sdd",id="/",major="8",minor="48",operation="Write"} 186368 1774266321495
container_blkio_device_usage_total{device="/dev/sde",id="/",major="8",minor="64",operation="Read"} 1.6127545856e+11 1774266321495
container_blkio_device_usage_total{device="/dev/sde",id="/",major="8",minor="64",operation="Write"} 1.69120817152e+11 1774266321495
container_blkio_device_usage_total{device="/dev/sdf",id="/",major="8",minor="80",operation="Read"} 1.902232576e+09 1774266321495
container_blkio_device_usage_total{device="/dev/sdf",id="/",major="8",minor="80",operation="Write"} 2.7859091456e+10 1774266321495
# HELP container_cpu_load_average_10s Value of container cpu load average over the last 10 seconds.
# TYPE container_cpu_load_average_10s gauge
container_cpu_load_average_10s{id="/"} 0 1774266321495
# HELP container_cpu_system_seconds_total Cumulative system cpu time consumed in seconds.
# TYPE container_cpu_system_seconds_total counter
container_cpu_system_seconds_total{id="/"} 35714.136 1774266321495
# HELP container_cpu_usage_seconds_total Cumulative cpu time consumed in seconds.
# TYPE container_cpu_usage_seconds_total counter
container_cpu_usage_seconds_total{cpu="total",id="/"} 82025.18 1774266321495
# HELP container_cpu_user_seconds_total Cumulative user cpu time consumed in seconds.
# TYPE container_cpu_user_seconds_total counter
container_cpu_user_seconds_total{id="/"} 46311.044 1774266321495
# HELP container_fs_inodes_free Number of available Inodes
# TYPE container_fs_inodes_free gauge
container_fs_inodes_free{device="/dev",id="/"} 1.531097e+06 1774266321495
container_fs_inodes_free{device="/dev/sdd",id="/"} 37628 1774266321495
